id;regiao;estado;sigla;vitoria_;usa_twitter_;sent_twitter_;usa_instagram_;sent_instagram_;anos_;foi_diretor_;foi_coordenador_;foi_fg_;publicacoes_twitter_;seguidores_twitter_;seguindo_twitter_;publicacoes_instagram_;seguidores_instagram_;seguindo_instagram_
249;Sudeste;Minas Gerais;UF;S;N;;S;0,00;45,36;S;N;N;;;;0;968;173
250;Sudeste;Minas Gerais;UF;S;N;;N;;28,02;S;N;S;;;;;;
251;Sudeste;Minas Gerais;UF;N;S;0,58;N;;42,62;S;N;N;2;5;0;;;
252;Sudeste;Minas Gerais;UF;N;N;;N;;34,06;S;N;N;;;;;;
253;Sudeste;Minas Gerais;UF;N;N;;S;-0,04;27,53;S;N;S;;;;59;474;238
254;Sudeste;São Paulo;UF;S;N;;N;;12,36;S;S;S;;;;;;
255;Sudeste;São Paulo;UF;N;N;;S;0,00;25,23;S;N;N;;;;0;56;12
256;Sudeste;Espírito Santo;UF;N;N;;N;;19,13;N;N;N;;;;;;
257;Sudeste;Espírito Santo;UF;N;N;;N;;23,18;S;N;N;;;;;;
258;Sudeste;Espírito Santo;UF;N;N;;S;0,00;27,32;S;N;N;;;;0;19;0
259;Sudeste;Espírito Santo;UF;S;N;;N;;31,66;S;N;N;;;;;;
260;Sudeste;Espírito Santo;UF;N;N;;S;0,00;12,09;S;N;S;;;;0;19;0
261;Sudeste;Rio de Janeiro;UF;S;N;;S;0,26;9,54;S;N;N;;;;36;160;214
262;Sudeste;Rio de Janeiro;UF;N;N;;S;0,00;10,61;S;N;N;;;;1;307;152
263;Sudeste;Rio de Janeiro;UF;N;N;;S;;24,05;S;N;N;;;;;;
264;Sudeste;Rio de Janeiro;UF;N;N;;N;;31,08;S;N;N;;;;;;
265;Sudeste;Rio de Janeiro;UF;S;N;;S;0,15;31,08;S;N;N;;;;38;1507;11
266;Sudeste;Rio de Janeiro;UF;N;N;;S;0,00;40,37;N;N;N;;;;5;86;67
267;Sudeste;Rio de Janeiro;UF;N;N;;S;0,00;38,24;N;N;N;;;;0;2;2
268;Sudeste;Minas Gerais;UF;S;N;;N;;11,58;S;N;N;;;;;;
269;Sudeste;Minas Gerais;UF;N;N;;N;;11,89;S;N;N;;;;;;
270;Sudeste;Minas Gerais;UF;S;N;;N;;;;;;;;;;;
271;Sudeste;Rio de Janeiro;UF;N;N;;N;;37,30;S;N;N;;;;;;
272;Sudeste;Rio de Janeiro;UF;S;N;;N;;31,20;S;N;N;;;;;;
273;Sudeste;Rio de Janeiro;UF;N;N;;N;;29,61;S;N;N;;;;;;
274;Sudeste;Rio de Janeiro;UF;N;N;;N;;44,51;N;N;N;;;;;;
275;Sudeste;Rio de Janeiro;UF;S;N;;N;;30,23;N;N;S;;;;;;
276;Sul;Paraná;UF;S;N;;N;;29,05;S;N;N;;;;;;
277;Sul;Paraná;UF;N;N;;S;0,00;;;;;;;;;;
278;Sul;Paraná;UF;N;N;;S;0,09;25,91;S;N;N;;;;370;3338;112
279;Sul;Santa Catarina;UF;N;N;;N;;22,25;N;N;N;;;;;;
280;Sul;Santa Catarina;UF;N;N;;N;;11,18;S;N;S;;;;;;
281;Sul;Santa Catarina;UF;N;N;;S;0,29;11,17;S;N;N;;;;1427;10400;7204
282;Sul;Santa Catarina;UF;S;N;0,12;S;0,32;10,79;S;S;N;201;138;401;161;686;323
283;Sul;Paraná;UF;N;S;0,00;N;;9,18;S;S;N;0;0;32;;;
284;Sul;Paraná;UF;S;S;0,19;S;0,00;8,46;S;N;N;161;974;246;0;167;1732
285;Sul;Paraná;UF;N;N;;S;0,27;28,34;N;N;N;;;;215;605;407
286;Sul;Rio Grande do Sul;UF;N;N;;N;;10,13;S;S;S;;;;;;
287;Sul;Rio Grande do Sul;UF;S;N;;N;;17,27;S;N;N;;;;;;
288;Sul;Rio Grande do Sul;UF;N;N;;N;;11,09;S;N;S;;;;;;
289;Sul;Rio Grande do Sul;UF;N;S;0,06;N;;12,36;S;;S;36;208;23;;;
290;Sul;Rio Grande do Sul;UF;N;N;;S;0,15;29,77;S;S;N;;;;35;1301;3260
291;Sul;Rio Grande do Sul;UF;N;N;;N;;18,73;S;N;S;;;;;;
292;Sul;Rio Grande do Sul;UF;N;N;;N;;4,68;N;N;N;;;;;;
293;Sul;Rio Grande do Sul;UF;S;N;;S;0,00;8,16;S;N;N;;;;123;1263;1300
294;Sul;Santa Catarina;UF;S;N;;S;0,00;43,67;S;N;N;;;;1;970;80
295;Sul;Santa Catarina;UF;N;N;;N;;10,77;S;N;S;;;;;;
296;Sul;Santa Catarina;UF;N;S;0,06;S;0,00;17,01;N;N;N;4;32;4;0;566;399
297;Sul;Rio Grande do Sul;UF;S;N;;N;;31,71;S;N;N;;;;;;
298;Sul;Rio Grande do Sul;UF;N;N;;S;0,80;36,44;S;N;N;;;;125;174;351
299;Sul;Rio Grande do Sul;UF;N;S;-0,04;N;;29,32;S;N;N;30;954;247;128;735;1079
300;Sul;Rio Grande do Sul;UF;S;N;;S;0,05;10,21;S;S;;;;;2342;1223;1085
